"","Indique.le.sport.principal.que.tu.pratiques","Catégories.sport"
"2","Athlétisme","athletisme/sport endurance"
"3","Athletisme","athletisme/sport endurance"
"6","L'athlétisme","athletisme/sport endurance"
"7","Course à pied","athletisme/sport endurance"
"8","Trail / Athlétisme","athletisme/sport endurance"
"10","Demi-fond","athletisme/sport endurance"
"11","Course à pied, demi-fond","athletisme/sport endurance"
"12","Athlétisme (demi-fond)","athletisme/sport endurance"
"16","Athlétisme (demi-fond long et long)","athletisme/sport endurance"
"17","Athlétisme course à pied","athletisme/sport endurance"
"18","Athle course demi fond.","athletisme/sport endurance"
"20","athlétisme","athletisme/sport endurance"
"25","Athlétisme 400 mètre haies","athletisme/sport endurance"
"27","PENTATHLON MODERNE","athletisme/sport endurance"
"28","Pentathlon moderne","athletisme/sport endurance"
"30","La course","athletisme/sport endurance"
"35","course à pied","athletisme/sport endurance"
"39","Athlétisme - demi-fond","athletisme/sport endurance"
"43","L’athlétisme","athletisme/sport endurance"
"44","Athlétisme, sprint","athletisme/sport endurance"
"48","Aviron","athletisme/sport endurance"
"51","badminton","sport individuel"
"53","Badminton","sport individuel"
"64","Ballet sur glace","sport artistique"
"65","le basket-ball","basket-ball"
"66","Basketball","basket-ball"
"68","BASKETBALL","basket-ball"
"69","Basket-ball","basket-ball"
"71","Basket","basket-ball"
"72","basket","basket-ball"
"85","basketball","basket-ball"
"88","Basket-Ball","basket-ball"
"92","basket-ball","basket-ball"
"94","Le Basket-ball","basket-ball"
"97","Basket ball","basket-ball"
"101","Basketball tu","basket-ball"
"103","Le basket","basket-ball"
"119","boxe","basket-ball"
"125","Basketball 🏀","basket-ball"
"133","Le basketball","basket-ball"
"167","Beach-volley","sport d'equipe"
"168","Billard américain","autres"
"169","Bmx","autres"
"170","Boxe","sport de combat"
"172","boxe anglaise","sport de combat"
"173","Boxe anglaise","sport de combat"
"174","Boxe française","sport de combat"
"175","Boxe Anglaise","sport de combat"
"176","savate boxe française","sport de combat"
"177","Combat","sport de combat"
"178","course d'orientation","athletisme/sport endurance"
"179","Le curling","autres"
"180","curling","autres"
"181","Cyclisme XCO","sport endurance"
"182","Cyclisme/ XCO","sport endurance"
"183","Cyclisme","sport endurance"
"187","Cyclisme sur piste","sport endurance"
"189","Danse","sport artistique"
"191","danse","sport artistique"
"196","Hip Hop Newstyle","sport artistique"
"198","Danse classique","sport artistique"
"203","Danse contemporaine (et aussi de la danse classique)","sport artistique"
"204","La danse classique et contemporaine","sport artistique"
"205","Danse contemporaine 
Danse classique","sport artistique"
"206","Danse contemporaine","sport artistique"
"209","Je pratique l'équitation","sport individuel"
"210","Equitation","sport individuel"
"211","equitation","sport individuel"
"216","Équitation","sport individuel"
"219","équitation","sport individuel"
"222","Equitation / CSO","sport individuel"
"224","Escalade","sport individuel"
"225","escalade","sport individuel"
"226","L'escalade","sport individuel"
"229","Trail et Escalade","sport individuel"
"232","Escalade sportive","sport individuel"
"235","Escrime","sport individuel"
"236","escrime","sport individuel"
"239","Escrime (épée)","sport individuel"
"243","fitness","autres"
"244","Entretien physique","autres"
"245","street workout","autres"
"246","salle de sport","autres"
"247","musculation","autres"
"248","Musculation","autres"
"249","musculation et athlétisme","autres"
"253","Powerlifting en salle de sport","autres"
"255","Crossfit","autres"
"258","Football","football"
"259","football","football"
"260","le football","football"
"262","foot","football"
"266","FOOTBALL","football"
"270","Foot","football"
"273","Le Football","football"
"300","Le football","football"
"336","Le foot","football"
"348","Football et ski","football"
"353","Football américain","sport d'equipe"
"355","Football","sport d'equipe"
"357","Football Freestyle","autres"
"358","Freeride (snowboard)","autres"
"359","Snowboard Freeride","autres"
"360","Le Golf","autres"
"361","gymnastique","sport artistique"
"362","La gymnastique","sport artistique"
"363","gym","sport artistique"
"364","Gymnastique","sport artistique"
"367","gymnastque","sport artistique"
"368","Les agrès","sport artistique"
"369","Agrès","sport artistique"
"370","Trampoline et agrès","sport artistique"
"373","agrès","sport artistique"
"376","Gym-Agrès","sport artistique"
"378","Gymnastique en agrès et en société","sport artistique"
"380","Agrès individuel et en société","sport artistique"
"383","Agres","sport artistique"
"384","La gymnastique aux agrès","sport artistique"
"388","gymnastique aux agrès","sport artistique"
"393","Gymnastique au Agrès","sport artistique"
"394","gymnastiques agrès","sport artistique"
"395","Gymnastique aux agrès","sport artistique"
"397","Gym agrès","sport artistique"
"399","Gym acrobatique","sport artistique"
"400","Gymnastique rythmique","sport artistique"
"401","Les Agrès","sport artistique"
"402","Gymnastique et danse","sport artistique"
"403","Gymnatique aux agrès","sport artistique"
"405","Gymnastique agrès","sport artistique"
